"HolderAddress","TotalQuantity"
"0x04456c709f8056c8b24a59a603f35232c39ae12b","33"
"0xc8e695b30ef512ae634007efa89a75e1421e3055","32"
"0x54393e990b8ce14df3770dc586e823d427240af1","32"
"0x57561e4e94ed65e69a12fbd26bd40f6c52511d25","31"
"0xb3d34a6f98f959499ee862e8c9b31e0da78c27f5","31"
"0xba80a93c4360d89425ef583a06c35a721cdd6b72","31"
"0xd522cd8cc56badbd1e9a84a9f726dc87667ad73a","30"
"0x4d72d4269ab46962713ca19cab8161a87684a163","30"
"0xd53f0b61f6c4725ac2f8dd9568b89d63b1523c36","30"
"0x4d0abff7aea667cc7a44a9fabdbb803eb547a8be","29"
"0x3dc3477ab66095827727ddd6c20bdcdbcd798ab3","28"
"0x3298965306b96ea25a18d68543d0d144dcde5ba3","27"
"0x60559b4cc92292b589ded75295f5331adcc69e04","27"
"0xba3ed0c784ac658112b2d6322622b1118212fcd7","26"
"0xa10850ea4974216e12296ad921c631f15262719b","26"
"0x2dcee554314d55cd93e7a9cdb22d07c0a51b4288","26"
"0xae0ad2947c529560763db15cfc26e02d21cd3353","26"
"0xb96267367c82d140b4fa90a8213eb260d4fb989c","25"
"0x45fcbd4e1652c7a1ab9bccc982a7b7dd5613d514","25"
"0xa2b2f10a3c542fed3a53654cca97d34f628f55e3","25"
"0x1146f36cf74fbb2971dcda652d0a3f4289a39d53","24"
"0x708f0da98f5e11c3e547ec3b6bff352bf760250e","23"
"0x69c5669e9d4fe33a51d4ff31c1d5248d1a0d7cfb","23"
"0x01dfaed8a027935f919787ce636995469c7891b1","22"
"0x99a31d14423087c88afb86291d02bcfad430d4e0","22"
"0x6c86b9442246ff449eb67b969c4fa51f43253858","22"
"0x027d3e2d5fa4f710aae2afa95bc4f3d2b9b9fc95","21"
"0x61df672817f155d41b5ffe387d75bfed0a61d174","21"
"0x4b443c2958ca3871e289002ba6594e35175bc6ff","20"
"0x82a80fb2c7203b80c8ebf96a33ea68fe685ca198","20"
"0x0f908cc335da6cc2bf0f939465f9413fce45d02a","20"
"0x0ce1d10ccc7b862617ae0f826702d6475f450e41","20"
"0x9546e55e634fbd6ef2b74765ede02f7e0e99bf83","20"
"0x5cad165682264a6823f333720211803f0a0c58aa","20"
"0x7c8f39f35ba890be972d2ccabab0e3dc99a82001","20"
"0xb57660af3b39cdd42fd9661600130b6d1f4c07e3","20"
"0x7c39d57b97c7e3ed305484f5513ccfc2089cde90","20"
"0xa336930e71da7b639efbb093d15c361a8453a09e","20"
"0x9e6c39f57e324fda4d8397ee5a67e1a5c44a3f4e","19"
"0x3e4bb351b67fa3dd5fd875c371ee4f4b8402e765","19"
"0x27a0024981bb6b2029e4192e6e7d5177fa74b809","19"
"0x66b4ebf30833bac135e0bbefab260ba6407c64c3","18"
"0x343ee80f82440a498e48ae186e066809750a055b","18"
"0x193641ea463c3b9244cf9f00b77ee5220d4154e9","18"
"0xef532911656c39c6bc23fbabd05f816055949cf7","18"
"0x35d8f23aca26d33db36a3c95daf9367e6af211b3","18"
"0x4020ca3f6d57f0ff5ee1760645ec4379a38e1a43","18"
"0x717c2afafbf5a01c25feb318be535f9ac89d3d11","17"
"0xaf2fab8f28e646a38fc56e046f8f3b7265e3f506","17"
